Nama;Gender;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Abbey Butler;Pria;Kos;Belum;Beasiswa;2008;Tangerang;UKM_3;Ya;3,5;DKV
Abbey Carpenter;Wanita;Kosong;Belum;Kosong;2009;Bekasi;UKM_2;Tidak;4;FIKOM
Abbey Dubois;Wanita;Kosong;Bekerja;Beasiswa;2008;Serang;UKM_4;Tidak;4,5;FIKOM
Abbey Gosling;Wanita;Orang Tua;Belum;Beasiswa;2009;Serang;UKM_1;Tidak;5,5;DKV
Abbey Logan;Wanita;Orang Tua;Bekerja;Kosong;2009;Bekasi;Tidak;Ya;6,5;DKV
Abbey Lunt;Pria;Kos;Belum;Kosong;2007;Serang;Tidak;Tidak;3,5;FISIP
Abbey Mccormick;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Bogor;UKM_4;Tidak;4,5;FIKOM
Abbey Morrow;Wanita;Orang Tua;Belum;Beasiswa;2009;Bogor;UKM_3;Tidak;5;FIKOM
Abbey Reading;Pria;Kosong;Belum;Beasiswa;2008;Tangerang;UKM_2;Tidak;5;FIKOM
Abbey Styles;Wanita;Orang Tua;Belum;Kosong;2007;Bogor;UKM_3;Ya;6;FTI
Abbey West;Pria;Kos;Belum;Orang Tua;2008;Bekasi;Tidak;Ya;5;FT
Abdul Andersson;Pria;Kos;Bekerja;Beasiswa;2009;Bogor;UKM_3;Ya;5;FT
Abdul Bloom;Wanita;Orang Tua;Belum;Kosong;2008;Jakarta;Tidak;Tidak;5,5;DKV
Abdul Campbell;Wanita;Kosong;Belum;Orang Tua;2009;Serang;UKM_3;Tidak;6,5;FIKOM
Abdul Carpenter;Pria;Kos;Bekerja;Beasiswa;2008;Serang;UKM_2;Ya;4,5;DKV
Abdul Clifton;Pria;Kos;Bekerja;Orang Tua;2008;Tangerang;UKM_2;Tidak;3,5;DKV
Abdul Daniells;Pria;Orang Tua;Bekerja;Orang Tua;2007;Serang;UKM_2;Tidak;5;FTI
Abdul Downing;Wanita;Kosong;Bekerja;Orang Tua;2007;Bogor;UKM_2;Ya;7;FTI
Abdul Drake;Wanita;Orang Tua;Belum;Kosong;2009;Karawang;UKM_1;Tidak;6;FT
Abdul Dunbar;Pria;Kos;Bekerja;Kosong;2008;Karawang;UKM_3;Tidak;7;FT
Abdul Edley;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Karawang;UKM_2;Tidak;5,5;DKV
Abdul Ellis;Wanita;Orang Tua;Belum;Kosong;2008;Bekasi;UKM_2;Ya;3,5;DKV
Abdul Harrison;Wanita;Kosong;Belum;Orang Tua;2007;Jakarta;UKM_3;Ya;3,5;DKV
Abdul Heaton;Wanita;Kosong;Belum;Kosong;2007;Serang;UKM_1;Tidak;6,5;FISIP
Abdul Herbert;Pria;Kos;Bekerja;Kosong;2008;Bekasi;UKM_4;Ya;5,5;FIKOM
Abdul Hudson;Wanita;Kos;Bekerja;Kosong;2009;Bekasi;UKM_4;Ya;6,5;FIKOM
Abdul Hunt;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Karawang;UKM_4;Tidak;3,5;FT
Abdul Irving;Wanita;Kosong;Belum;Beasiswa;2008;Jakarta;Tidak;Tidak;4;FT
Abdul James;Wanita;Kos;Bekerja;Orang Tua;2007;Serang;Tidak;Ya;7;FT
Abdul Kerr;Pria;Orang Tua;Bekerja;Beasiswa;2007;Karawang;UKM_1;Tidak;4;FISIP
Abdul Lloyd;Pria;Kosong;Belum;Orang Tua;2007;Karawang;Tidak;Ya;6;DKV
Abdul Mann;Wanita;Kos;Bekerja;Beasiswa;2008;Jakarta;Tidak;Ya;6;FTI
Abdul Mccormick;Pria;Kos;Belum;Orang Tua;2008;Jakarta;UKM_2;Ya;7;FISIP
Abdul Mcneill;Pria;Kos;Bekerja;Kosong;2009;Jakarta;UKM_3;Tidak;3,5;FTI
Abdul Morley;Wanita;Kosong;Bekerja;Beasiswa;2007;Bogor;UKM_1;Ya;5;DKV
Abdul Newman;Wanita;Kos;Belum;Beasiswa;2009;Tangerang;UKM_4;Tidak;5,5;DKV
Abdul Nielson;Pria;Kosong;Bekerja;Beasiswa;2007;Tangerang;UKM_1;Ya;7;FISIP
Abdul Notman;Pria;Kos;Belum;Kosong;2008;Jakarta;Tidak;Ya;5,5;FT
Abdul Oatway;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Karawang;UKM_1;Tidak;4;FIKOM
Abdul Pickard;Pria;Kosong;Bekerja;Kosong;2007;Jakarta;UKM_2;Ya;4,5;DKV
Abdul Plant;Wanita;Kosong;Belum;Kosong;2007;Tangerang;UKM_2;Tidak;3,5;FIKOM
Abdul Price;Pria;Kosong;Bekerja;Beasiswa;2007;Bekasi;UKM_2;Tidak;7;FISIP
Abdul Redden;Pria;Kos;Belum;Kosong;2008;Karawang;Tidak;Ya;6,5;FT
Abdul Richardson;Wanita;Kos;Bekerja;Kosong;2008;Karawang;Tidak;Ya;4;DKV
Abdul Rixon;Wanita;Kosong;Belum;Orang Tua;2008;Bekasi;Tidak;Tidak;6;FISIP
Abdul Robinson;Pria;Kos;Belum;Beasiswa;2009;Tangerang;UKM_4;Tidak;6,5;FIKOM
Abdul Roman;Pria;Kos;Belum;Beasiswa;2009;Serang;UKM_3;Ya;4,5;FISIP
Abdul Rycroft;Wanita;Orang Tua;Bekerja;Kosong;2008;Karawang;UKM_3;Ya;5;FTI
Abdul Selby;Pria;Orang Tua;Belum;Kosong;2009;Jakarta;UKM_3;Ya;6;FISIP
Abdul Smith;Pria;Orang Tua;Bekerja;Orang Tua;2008;Jakarta;UKM_1;Tidak;4;FTI
Abdul Squire;Wanita;Kosong;Belum;Orang Tua;2009;Tangerang;UKM_3;Tidak;5;DKV
Abdul Stewart;Wanita;Kos;Belum;Beasiswa;2007;Jakarta;UKM_3;Ya;3,5;FTI
Abdul Tobin;Pria;Kos;Belum;Beasiswa;2007;Tangerang;Tidak;Ya;5;DKV
Abdul Uttley;Wanita;Kos;Bekerja;Kosong;2008;Jakarta;UKM_2;Tidak;7;FT
Abdul Vallory;Wanita;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_4;Tidak;4;FTI
Abdul Veale;Wanita;Orang Tua;Belum;Kosong;2008;Karawang;UKM_2;Ya;6;FIKOM
Abdul Wade;Wanita;Kos;Belum;Orang Tua;2009;Karawang;Tidak;Tidak;5;FTI
Abdul Walker;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;3,5;FISIP
Abdul Watson;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_4;Tidak;5,5;FIKOM
Abdul Wooldridge;Pria;Kos;Belum;Beasiswa;2009;Bekasi;UKM_4;Ya;3,5;FTI
Abdul Wright;Pria;Kos;Bekerja;Kosong;2007;Jakarta;UKM_4;Tidak;3,5;FIKOM
Abdul York;Pria;Orang Tua;Belum;Kosong;2009;Tangerang;UKM_3;Tidak;6,5;FTI
Ada Casey;Wanita;Kosong;Bekerja;Beasiswa;2009;Bekasi;UKM_1;Ya;7;FTI
Ada Craig;Pria;Kosong;Bekerja;Orang Tua;2009;Bogor;UKM_3;Ya;5,5;FISIP
Ada Gibbons;Pria;Orang Tua;Belum;Orang Tua;2007;Tangerang;UKM_1;Ya;5;FIKOM
Ada Lakey;Pria;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_1;Ya;7;FT
Ada Neville;Pria;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_1;Tidak;7;DKV
Ada Robertson;Pria;Orang Tua;Bekerja;Orang Tua;2007;Bogor;UKM_1;Tidak;5,5;DKV
Ada Thomas;Wanita;Kosong;Belum;Beasiswa;2008;Bogor;Tidak;Ya;5,5;FTI
Ada Vince;Wanita;Kos;Belum;Kosong;2007;Jakarta;UKM_2;Ya;7;FTI
